feature,importance
lst_team2_away_form_progressive_pass_ratio,0.0031837032
lst_team1_h2h_sh_accuracy,0.0031621163
lst_team2_home_form_cross,0.0031560224
lst_team1_away_form_sh_accuracy,0.0031515989
lst_team2_away_general_avg_ck,0.0031453462
lst_team1_home_form_clearance_ratio,0.0031448333
lst_team2_away_general_var_ck,0.0031408297
lst_team1_away_form_creative_efficiency,0.0031327584
lst_team1_away_general_xg_shot,0.0031323668
lst_team2_away_form_attacking_presence,0.003127683
lst_team2_away_form_assist_sca,0.0031237174
lst_team1_home_form_carry_pass_balance,0.003123671
lst_team2_home_general_clearance_ratio,0.0031197472
lst_team1_home_general_sh_accuracy,0.0031080812
ppp_difference,0.0030795091
lst_team2_away_general_assist_sca,0.003070713
lst_team1_away_general_possession_shot,0.0030626245
lst_team2_away_form_carry_pass_balance,0.0030623307
lst_team2_away_general_clearance_ratio,0.003050795
lst_team2_opp_home_xg,0.0030451634
lst_team2_away_general_xg_shot,0.003026554
lst_team1_home_general_clearance_ratio,0.0030137473
lst_team2_away_general_high_press_intensity,0.0030082497
lst_team1_home_general_gf,0.002996316
lst_team2_away_form_att_3rd,0.002990299
lst_team1_h2h_assist_sca,0.0029751929
lst_team2_home_general_ga,0.0029751146
lst_team2_home_general_carry_pass_balance,0.0029572663
lst_team1_away_general_att_3rd,0.002950282
lst_team2_h2h_final_third_involvement,0.0029376885
lst_team1_opp_away_xg,0.0029262132
lst_team2_home_general_xg_shot,0.0029256549
lst_team1_h2h_xg_shot,0.002922033
lst_team1_home_form_var_ck,0.0029167284
lst_team1_h2h_xg,0.00290548
lst_team2_home_general_cross,0.0028926788
lst_team1_away_form_assist_sca,0.0028924246
lst_team1_home_form_final_third_involvement,0.0028913023
lst_team2_away_general_sh_accuracy,0.0028803018
lst_team2_h2h_high_press_intensity,0.0028673536
lst_team2_away_form_ga,0.0028666754
lst_team2_away_form_sh_accuracy,0.002865349
lst_team2_away_general_transition_index,0.0028632677
lst_team1_away_form_possession_shot,0.0028566553
lst_team2_home_form_sca,0.0028501865
lst_team1_away_general_high_press_intensity,0.002844561
lst_team2_away_general_attacking_presence,0.0028342672
lst_team1_away_general_assist_sca,0.002833229
lst_team2_away_general_creative_efficiency,0.0028307398
lst_team1_opp_away_poss,0.002821841
