Partido,Local,Visitante,Liga,Jornada,Temporada,Prediccion,Valor_Mas_Probable,Prob_Valor_Mas_Probable_%,Rango_80%_Min,Rango_80%_Max,PPP_Local,PPP_Away,PPP_Diferencia,CK_Local_Casa,CK_Away_Fuera,CK_Local_Recibidos,CK_Away_Recibidos,CK_Esperado_Suma,CK_H2H_Total,Fiabilidad_Partido,Score_Fiabilidad,Nivel_Local,Nivel_Away,CV_Local_%,CV_Away_%,Over_6.5_Prob_%,Over_6.5_Cuota,Over_6.5_Confianza,Over_7.5_Prob_%,Over_7.5_Cuota,Over_7.5_Confianza,Over_8.5_Prob_%,Over_8.5_Cuota,Over_8.5_Confianza,Over_9.5_Prob_%,Over_9.5_Cuota,Over_9.5_Confianza,Over_10.5_Prob_%,Over_10.5_Cuota,Over_10.5_Confianza,Under_12.5_Prob_%,Under_12.5_Cuota,Under_12.5_Confianza,Under_11.5_Prob_%,Under_11.5_Cuota,Under_11.5_Confianza,Under_10.5_Prob_%,Under_10.5_Cuota,Under_10.5_Confianza,Under_9.5_Prob_%,Under_9.5_Cuota,Under_9.5_Confianza,Recomendacion,Es_Apostable,Mensaje_Riesgo
Marseille vs Brest,Marseille,Brest,FRA,12,2526,7.4,7,14.74,4,10,2,0.9,1.1,4.6,3.4,4.3,4,8,7.3,BAJA ⛔,27.2,REGULAR ⚠️,EVITAR ⛔,61.1,86.9,0,999,BAJA ❌,46.06,2.17,BAJA ❌,32.43,3.08,BAJA ❌,21.22,4.71,BAJA ❌,12.93,7.73,BAJA ❌,96.09,1.04,ALTA ✅,92.65,1.08,ALTA ✅,87.07,1.15,ALTA ✅,78.78,1.27,ALTA ✅,⛔ EVITAR - Baja fiabilidad,NO,⛔ EVITAR APUESTA
Le Havre vs Nantes,Le Havre,Nantes,FRA,12,2526,10.08,10,12.51,6,14,1.2,0.9,0.3,4.2,3.8,5.6,6.4,8,10.7,MUY ALTA ⭐⭐⭐,65,BUENO ✅,EXCELENTE ⭐⭐⭐,53.6,42,0,999,BAJA ❌,78.66,1.27,ALTA ✅,67.58,1.48,ALTA ✅,55.16,1.81,MEDIA ⚠️,42.66,2.34,BAJA ❌,78.42,1.28,ALTA ✅,68.8,1.45,ALTA ✅,57.34,1.74,MEDIA ⚠️,44.84,2.23,BAJA ❌,Over 7.5 (78.7% @1.27) | Under 12.5 (78.4% @1.28),SÍ ⭐⭐⭐,✅ EXCELENTE PARTIDO PARA APOSTAR
Monaco vs Lens,Monaco,Lens,FRA,12,2526,10.79,10,12.15,7,15,1.82,1.9,-0.08,4.3,2.8,5.2,6,7.1,11.7,ALTA ✅,51.4,EXCELENTE ⭐⭐⭐,REGULAR ⚠️,40,77.5,0,999,BAJA ❌,84.26,1.19,ALTA ✅,74.86,1.34,ALTA ✅,63.6,1.57,MEDIA ⚠️,51.46,1.94,BAJA ❌,71.17,1.41,ALTA ✅,60.46,1.65,MEDIA ⚠️,48.54,2.06,BAJA ❌,36.4,2.75,BAJA ❌,Over 7.5 (84.3% @1.19) | Under 12.5 (71.2% @1.41),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Lorient vs Toulouse,Lorient,Toulouse,FRA,12,2526,7.92,7,14.09,4,11,0.9,1.4,-0.5,2.6,4.8,4.4,5.8,7.4,7.3,MUY ALTA ⭐⭐⭐,67.4,BUENO ✅,EXCELENTE ⭐⭐⭐,65,31.3,0,999,BAJA ❌,53.58,1.87,BAJA ❌,39.63,2.52,BAJA ❌,27.35,3.66,BAJA ❌,17.62,5.67,BAJA ❌,94,1.06,ALTA ✅,89.38,1.12,ALTA ✅,82.38,1.21,ALTA ✅,72.65,1.38,ALTA ✅,Under 12.5 (94.0% @1.06),SÍ ⭐⭐⭐,✅ EXCELENTE PARTIDO PARA APOSTAR
Metz vs Nice,Metz,Nice,FRA,12,2526,6.64,6,15.56,3,9,0.5,1.55,-1.05,3.4,4.6,6.8,7.7,8,6,ALTA ✅,51.2,BUENO ✅,ACEPTABLE 🟡,47.4,54.2,0,999,BAJA ❌,34.81,2.87,BAJA ❌,22.56,4.43,BAJA ❌,13.51,7.4,BAJA ❌,7.51,13.32,BAJA ❌,98.13,1.02,ALTA ✅,96.12,1.04,ALTA ✅,92.49,1.08,ALTA ✅,86.49,1.16,ALTA ✅,Under 12.5 (98.1% @1.02),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Angers vs Auxerre,Angers,Auxerre,FRA,12,2526,7.05,7,14.9,4,10,1,0.64,0.36,5.2,4.6,5.2,4.3,9.8,6.7,MEDIA 🟡,38,REGULAR ⚠️,ACEPTABLE 🟡,81.3,66.1,0,999,BAJA ❌,40.91,2.44,BAJA ❌,27.78,3.6,BAJA ❌,17.49,5.72,BAJA ❌,10.23,9.77,BAJA ❌,97.16,1.03,ALTA ✅,94.42,1.06,ALTA ✅,89.77,1.11,ALTA ✅,82.51,1.21,ALTA ✅,Under 12.5 (97.2% @1.03),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Strasbourg vs Lille,Strasbourg,Lille,FRA,12,2526,10.99,10,11.95,7,15,1.9,1.7,0.2,4.4,8.4,4.2,5.2,12.8,11.7,ALTA ✅,52.6,BUENO ✅,REGULAR ⚠️,49.9,46.9,0,999,BAJA ❌,85.62,1.17,ALTA ✅,76.71,1.3,ALTA ✅,65.84,1.52,MEDIA ⚠️,53.89,1.86,BAJA ❌,68.98,1.45,ALTA ✅,58.04,1.72,MEDIA ⚠️,46.11,2.17,BAJA ❌,34.16,2.93,BAJA ❌,Over 7.5 (85.6% @1.17) | Under 12.5 (69.0% @1.45),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
