Partido,Local,Visitante,Liga,Jornada,Temporada,Prediccion,Valor_Mas_Probable,Prob_Valor_Mas_Probable_%,Rango_80%_Min,Rango_80%_Max,PPP_Local,PPP_Away,PPP_Diferencia,CK_Local_Casa,CK_Away_Fuera,CK_Local_Recibidos,CK_Away_Recibidos,CK_Esperado_Suma,CK_H2H_Total,Fiabilidad_Partido,Score_Fiabilidad,Nivel_Local,Nivel_Away,CV_Local_%,CV_Away_%,Over_6.5_Prob_%,Over_6.5_Cuota,Over_6.5_Confianza,Over_7.5_Prob_%,Over_7.5_Cuota,Over_7.5_Confianza,Over_8.5_Prob_%,Over_8.5_Cuota,Over_8.5_Confianza,Over_9.5_Prob_%,Over_9.5_Cuota,Over_9.5_Confianza,Over_10.5_Prob_%,Over_10.5_Cuota,Over_10.5_Confianza,Under_12.5_Prob_%,Under_12.5_Cuota,Under_12.5_Confianza,Under_11.5_Prob_%,Under_11.5_Cuota,Under_11.5_Confianza,Under_10.5_Prob_%,Under_10.5_Cuota,Under_10.5_Confianza,Under_9.5_Prob_%,Under_9.5_Cuota,Under_9.5_Confianza,Recomendacion,Es_Apostable,Mensaje_Riesgo
Excelsior vs Heracles Almelo,Excelsior,Heracles Almelo,NED,12,2526,10.66,10,12.25,6,14,0.91,0.3,0.61,4,3.3,5.5,7,7.3,10,ALTA ✅,59.2,ACEPTABLE 🟡,EXCELENTE ⭐⭐⭐,54.6,39.7,0,999,BAJA ❌,83.38,1.2,ALTA ✅,73.69,1.36,ALTA ✅,62.2,1.61,MEDIA ⚠️,49.95,2,BAJA ❌,72.48,1.38,ALTA ✅,61.92,1.61,MEDIA ⚠️,50.05,2,BAJA ❌,37.8,2.65,BAJA ❌,Over 7.5 (83.4% @1.2) | Under 12.5 (72.5% @1.38),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Fortuna Sittard vs Heerenveen,Fortuna Sittard,Heerenveen,NED,12,2526,7.92,7,14.09,4,11,1.18,1.27,-0.09,5.2,5.8,7,4.5,11,9.3,MEDIA 🟡,49.8,ACEPTABLE 🟡,ACEPTABLE 🟡,66.8,44.2,0,999,BAJA ❌,53.6,1.87,BAJA ❌,39.65,2.52,BAJA ❌,27.37,3.65,BAJA ❌,17.64,5.67,BAJA ❌,93.99,1.06,ALTA ✅,89.37,1.12,ALTA ✅,82.36,1.21,ALTA ✅,72.63,1.38,ALTA ✅,Under 12.5 (94.0% @1.06),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Zwolle vs Sparta R'dam,Zwolle,Sparta R'dam,NED,12,2526,8.4,8,13.82,5,12,0.9,1.6,-0.7,3,3.2,5.8,6.4,6.2,10.3,ALTA ✅,61.7,BUENO ✅,BUENO ✅,59.5,56.1,0,999,BAJA ❌,60.16,1.66,MEDIA ⚠️,46.34,2.16,BAJA ❌,33.43,2.99,BAJA ❌,22.59,4.43,BAJA ❌,91.49,1.09,ALTA ✅,85.69,1.17,ALTA ✅,77.41,1.29,ALTA ✅,66.57,1.5,ALTA ✅,Over 7.5 (60.2% @1.66) | Under 12.5 (91.5% @1.09),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Utrecht vs Ajax,Utrecht,Ajax,NED,12,2526,9.09,9,13.17,5,12,1.3,1.82,-0.52,5.8,5.2,5.8,4.5,11,10,MEDIA 🟡,46.7,REGULAR ⚠️,BUENO ✅,57.3,46.5,0,999,BAJA ❌,68.69,1.46,ALTA ✅,55.65,1.8,MEDIA ⚠️,42.48,2.35,BAJA ❌,30.51,3.28,BAJA ❌,86.89,1.15,ALTA ✅,79.39,1.26,ALTA ✅,69.49,1.44,ALTA ✅,57.52,1.74,MEDIA ⚠️,Over 7.5 (68.7% @1.46) | Under 12.5 (86.9% @1.15),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
NEC Nijmegen vs Groningen,NEC Nijmegen,Groningen,NED,12,2526,10.19,10,12.49,6,14,1.5,1.8,-0.3,5.2,4.4,5.2,4.2,9.6,9.7,MUY ALTA ⭐⭐⭐,67.7,EXCELENTE ⭐⭐⭐,BUENO ✅,33.3,41.5,0,999,BAJA ❌,79.67,1.26,ALTA ✅,68.86,1.45,ALTA ✅,56.61,1.77,MEDIA ⚠️,44.12,2.27,BAJA ❌,77.28,1.29,ALTA ✅,67.45,1.48,ALTA ✅,55.88,1.79,MEDIA ⚠️,43.39,2.3,BAJA ❌,Over 7.5 (79.7% @1.26) | Under 12.5 (77.3% @1.29),SÍ ⭐⭐⭐,✅ EXCELENTE PARTIDO PARA APOSTAR
AZ Alkmaar vs PSV Eindhoven,AZ Alkmaar,PSV Eindhoven,NED,12,2526,9.17,9,13.15,5,12,2.1,2.55,-0.45,6.6,5,4,3.7,11.6,8.7,ALTA ✅,51.2,ACEPTABLE 🟡,ACEPTABLE 🟡,32.3,33.9,0,999,BAJA ❌,69.62,1.44,ALTA ✅,56.72,1.76,MEDIA ⚠️,43.56,2.3,BAJA ❌,31.5,3.18,BAJA ❌,86.27,1.16,ALTA ✅,78.57,1.27,ALTA ✅,68.5,1.46,ALTA ✅,56.44,1.77,MEDIA ⚠️,Over 7.5 (69.6% @1.44) | Under 12.5 (86.3% @1.16),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Go Ahead Eag vs Feyenoord,Go Ahead Eag,Feyenoord,NED,12,2526,9.5,9,13,6,13,1.18,2.55,-1.36,8,7.6,5,2.7,15.6,8.7,MEDIA 🟡,37.6,ACEPTABLE 🟡,REGULAR ⚠️,55.6,44.2,0,999,BAJA ❌,73.17,1.37,ALTA ✅,60.86,1.64,MEDIA ⚠️,47.86,2.09,BAJA ❌,35.5,2.82,BAJA ❌,83.62,1.2,ALTA ✅,75.17,1.33,ALTA ✅,64.5,1.55,MEDIA ⚠️,52.14,1.92,BAJA ❌,Over 7.5 (73.2% @1.37) | Under 12.5 (83.6% @1.2),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
