Partido,Local,Visitante,Liga,Jornada,Temporada,Prediccion,Valor_Mas_Probable,Prob_Valor_Mas_Probable_%,Rango_80%_Min,Rango_80%_Max,PPP_Local,PPP_Away,PPP_Diferencia,CK_Local_Casa,CK_Away_Fuera,CK_Local_Recibidos,CK_Away_Recibidos,CK_Esperado_Suma,CK_H2H_Total,Fiabilidad_Partido,Score_Fiabilidad,Nivel_Local,Nivel_Away,CV_Local_%,CV_Away_%,Over_6.5_Prob_%,Over_6.5_Cuota,Over_6.5_Confianza,Over_7.5_Prob_%,Over_7.5_Cuota,Over_7.5_Confianza,Over_8.5_Prob_%,Over_8.5_Cuota,Over_8.5_Confianza,Over_9.5_Prob_%,Over_9.5_Cuota,Over_9.5_Confianza,Over_10.5_Prob_%,Over_10.5_Cuota,Over_10.5_Confianza,Under_12.5_Prob_%,Under_12.5_Cuota,Under_12.5_Confianza,Under_11.5_Prob_%,Under_11.5_Cuota,Under_11.5_Confianza,Under_10.5_Prob_%,Under_10.5_Cuota,Under_10.5_Confianza,Under_9.5_Prob_%,Under_9.5_Cuota,Under_9.5_Confianza,Recomendacion,Es_Apostable,Mensaje_Riesgo
Elche vs Real Sociedad,Elche,Real Sociedad,ESP,12,2526,7.96,7,14.02,4,11,1.4,1.09,0.31,4.2,6.6,6.4,4.0,10.8,8.3,MEDIA 🟡,48.8,BUENO ✅,REGULAR ⚠️,52.9,52.3,0,999,BAJA ❌,54.21,1.84,BAJA ❌,40.25,2.48,BAJA ❌,27.9,3.58,BAJA ❌,18.06,5.54,BAJA ❌,93.79,1.07,ALTA ✅,89.06,1.12,ALTA ✅,81.94,1.22,ALTA ✅,72.1,1.39,ALTA ✅,Under 12.5 (93.8% @1.07),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Girona vs Alavés,Girona,Alavés,ESP,12,2526,8.63,8,13.63,5,12,0.64,1.2,-0.56,6.2,5.6,9.0,3.0,11.8,8.3,BAJA ⛔,32.6,REGULAR ⚠️,REGULAR ⚠️,82.0,56.4,0,999,BAJA ❌,63.1,1.58,MEDIA ⚠️,49.46,2.02,BAJA ❌,36.39,2.75,BAJA ❌,25.11,3.98,BAJA ❌,90.11,1.11,ALTA ✅,83.74,1.19,ALTA ✅,74.89,1.34,ALTA ✅,63.61,1.57,MEDIA ⚠️,⛔ EVITAR - Baja fiabilidad,NO,⛔ EVITAR APUESTA
Sevilla vs Osasuna,Sevilla,Osasuna,ESP,12,2526,7.04,7,14.9,4,10,1.18,1.0,0.18,5.2,2.0,7.8,4.2,7.2,6.7,ALTA ✅,57.8,ACEPTABLE 🟡,BUENO ✅,54.6,70.2,0,999,BAJA ❌,40.69,2.46,BAJA ❌,27.58,3.63,BAJA ❌,17.33,5.77,BAJA ❌,10.12,9.88,BAJA ❌,97.2,1.03,ALTA ✅,94.49,1.06,ALTA ✅,89.88,1.11,ALTA ✅,82.67,1.21,ALTA ✅,Under 12.5 (97.2% @1.03),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Atlético Madrid vs Levante,Atlético Madrid,Levante,ESP,12,2526,12.41,12,11.36,8,16,2.0,0.9,1.1,7.7,2.7,2.6,8.5,10.3,12.3,ALTA ✅,53.8,BUENO ✅,ACEPTABLE 🟡,36.0,91.4,0,999,BAJA ❌,92.69,1.08,ALTA ✅,87.01,1.15,ALTA ✅,79.16,1.26,ALTA ✅,69.43,1.44,ALTA ✅,52.92,1.89,BAJA ❌,41.56,2.41,BAJA ❌,30.57,3.27,BAJA ❌,20.84,4.8,BAJA ❌,Over 7.5 (92.7% @1.08),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Espanyol vs Villarreal,Espanyol,Villarreal,ESP,12,2526,9.54,9,12.97,6,13,1.8,2.09,-0.29,4.7,3.2,5.2,3.0,7.9,10.0,MEDIA 🟡,47.5,REGULAR ⚠️,BUENO ✅,63.7,52.6,0,999,BAJA ❌,73.51,1.36,ALTA ✅,61.26,1.63,MEDIA ⚠️,48.29,2.07,BAJA ❌,35.91,2.78,BAJA ❌,83.34,1.2,ALTA ✅,74.81,1.34,ALTA ✅,64.09,1.56,MEDIA ⚠️,51.71,1.93,BAJA ❌,Over 7.5 (73.5% @1.36) | Under 12.5 (83.3% @1.2),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Rayo Vallecano vs Real Madrid,Rayo Vallecano,Real Madrid,ESP,12,2526,9.26,9,13.13,6,13,1.27,2.73,-1.45,8.2,5.2,5.3,2.2,13.4,10.3,MEDIA 🟡,49.6,ACEPTABLE 🟡,ACEPTABLE 🟡,36.0,45.9,0,999,BAJA ❌,70.53,1.42,ALTA ✅,57.77,1.73,MEDIA ⚠️,44.64,2.24,BAJA ❌,32.49,3.08,BAJA ❌,85.63,1.17,ALTA ✅,77.74,1.29,ALTA ✅,67.51,1.48,ALTA ✅,55.36,1.81,MEDIA ⚠️,Over 7.5 (70.5% @1.42) | Under 12.5 (85.6% @1.17),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Mallorca vs Getafe,Mallorca,Getafe,ESP,12,2526,6.98,6,14.95,4,10,0.9,1.55,-0.65,3.6,4.2,6.8,3.8,7.8,5.7,ALTA ✅,58.6,BUENO ✅,BUENO ✅,53.7,49.8,0,999,BAJA ❌,39.78,2.51,BAJA ❌,26.78,3.73,BAJA ❌,16.71,5.98,BAJA ❌,9.68,10.33,BAJA ❌,97.36,1.03,ALTA ✅,94.77,1.06,ALTA ✅,90.32,1.11,ALTA ✅,83.29,1.2,ALTA ✅,Under 12.5 (97.4% @1.03),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Valencia vs Betis,Valencia,Betis,ESP,12,2526,8.12,8,13.95,4,11,0.82,1.6,-0.78,6.6,6.0,5.0,5.4,12.6,8.0,MEDIA 🟡,48.5,ACEPTABLE 🟡,ACEPTABLE 🟡,54.2,53.6,0,999,BAJA ❌,56.39,1.77,MEDIA ⚠️,42.44,2.36,BAJA ❌,29.86,3.35,BAJA ❌,19.64,5.09,BAJA ❌,93.02,1.08,ALTA ✅,87.91,1.14,ALTA ✅,80.36,1.24,ALTA ✅,70.14,1.43,ALTA ✅,Over 7.5 (56.4% @1.77) | Under 12.5 (93.0% @1.08),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Barcelona vs Celta Vigo,Barcelona,Celta Vigo,ESP,12,2526,7.01,7,14.9,4,10,2.2,1.0,1.2,7.8,3.8,6.2,4.7,11.5,6.0,BAJA ⛔,29.0,REGULAR ⚠️,REGULAR ⚠️,44.7,67.1,0,999,BAJA ❌,40.25,2.48,BAJA ❌,27.19,3.68,BAJA ❌,17.03,5.87,BAJA ❌,9.91,10.09,BAJA ❌,97.28,1.03,ALTA ✅,94.63,1.06,ALTA ✅,90.09,1.11,ALTA ✅,82.97,1.21,ALTA ✅,⛔ EVITAR - Baja fiabilidad,NO,⛔ EVITAR APUESTA
