Partido,Local,Visitante,Liga,Jornada,Temporada,Prediccion,Valor_Mas_Probable,Prob_Valor_Mas_Probable_%,Rango_80%_Min,Rango_80%_Max,PPP_Local,PPP_Away,PPP_Diferencia,CK_Local_Casa,CK_Away_Fuera,CK_Local_Recibidos,CK_Away_Recibidos,CK_Esperado_Suma,CK_H2H_Total,Fiabilidad_Partido,Score_Fiabilidad,Nivel_Local,Nivel_Away,CV_Local_%,CV_Away_%,Over_6.5_Prob_%,Over_6.5_Cuota,Over_6.5_Confianza,Over_7.5_Prob_%,Over_7.5_Cuota,Over_7.5_Confianza,Over_8.5_Prob_%,Over_8.5_Cuota,Over_8.5_Confianza,Over_9.5_Prob_%,Over_9.5_Cuota,Over_9.5_Confianza,Over_10.5_Prob_%,Over_10.5_Cuota,Over_10.5_Confianza,Under_12.5_Prob_%,Under_12.5_Cuota,Under_12.5_Confianza,Under_11.5_Prob_%,Under_11.5_Cuota,Under_11.5_Confianza,Under_10.5_Prob_%,Under_10.5_Cuota,Under_10.5_Confianza,Under_9.5_Prob_%,Under_9.5_Cuota,Under_9.5_Confianza,Recomendacion,Es_Apostable,Mensaje_Riesgo
Elche vs Real Sociedad,Elche,Real Sociedad,ESP,11,2526,7.97,7,14,4,11,1.4,0.9,0.5,4.2,6.6,6.4,4.4,10.8,8.3,MEDIA 🟡,48.8,BUENO ✅,REGULAR ⚠️,52.9,52.3,0,999,BAJA ❌,54.35,1.84,BAJA ❌,40.39,2.48,BAJA ❌,28.02,3.57,BAJA ❌,18.16,5.51,BAJA ❌,93.74,1.07,ALTA ✅,88.99,1.12,ALTA ✅,81.84,1.22,ALTA ✅,71.98,1.39,ALTA ✅,Under 12.5 (93.7% @1.07),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Girona vs Alavés,Girona,Alavés,ESP,11,2526,8.67,8,13.6,5,12,0.7,1.2,-0.5,6.2,5.6,9.2,3,11.8,8.3,BAJA ⛔,32.6,REGULAR ⚠️,REGULAR ⚠️,82,56.4,0,999,BAJA ❌,63.56,1.57,MEDIA ⚠️,49.97,2,BAJA ❌,36.88,2.71,BAJA ❌,25.53,3.92,BAJA ❌,89.87,1.11,ALTA ✅,83.41,1.2,ALTA ✅,74.47,1.34,ALTA ✅,63.12,1.58,MEDIA ⚠️,⛔ EVITAR - Baja fiabilidad,NO,⛔ EVITAR APUESTA
Sevilla vs Osasuna,Sevilla,Osasuna,ESP,11,2526,7.07,7,14.9,4,10,1.3,1,0.3,5.2,2,7.6,4.2,7.2,6.7,ALTA ✅,57.8,ACEPTABLE 🟡,BUENO ✅,54.6,70.2,0,999,BAJA ❌,41.12,2.43,BAJA ❌,27.96,3.58,BAJA ❌,17.63,5.67,BAJA ❌,10.33,9.68,BAJA ❌,97.12,1.03,ALTA ✅,94.36,1.06,ALTA ✅,89.67,1.12,ALTA ✅,82.37,1.21,ALTA ✅,Under 12.5 (97.1% @1.03),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Atlético Madrid vs Levante,Atlético Madrid,Levante,ESP,11,2526,12.39,12,11.37,8,16,1.9,0.9,1,7.4,2.7,2.6,8.5,10.1,12.3,ALTA ✅,53.8,BUENO ✅,ACEPTABLE 🟡,36,91.4,0,999,BAJA ❌,92.62,1.08,ALTA ✅,86.9,1.15,ALTA ✅,79.01,1.27,ALTA ✅,69.24,1.44,ALTA ✅,53.14,1.88,BAJA ❌,41.77,2.39,BAJA ❌,30.76,3.25,BAJA ❌,20.99,4.76,BAJA ❌,Over 7.5 (92.6% @1.08),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Espanyol vs Villarreal,Espanyol,Villarreal,ESP,11,2526,9.54,9,12.97,6,13,1.8,2,-0.2,4.7,3.2,5.2,2.6,7.9,10,MEDIA 🟡,47.5,REGULAR ⚠️,BUENO ✅,63.7,52.6,0,999,BAJA ❌,73.5,1.36,ALTA ✅,61.26,1.63,MEDIA ⚠️,48.28,2.07,BAJA ❌,35.91,2.78,BAJA ❌,83.34,1.2,ALTA ✅,74.82,1.34,ALTA ✅,64.09,1.56,MEDIA ⚠️,51.72,1.93,BAJA ❌,Over 7.5 (73.5% @1.36) | Under 12.5 (83.3% @1.2),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Rayo Vallecano vs Real Madrid,Rayo Vallecano,Real Madrid,ESP,11,2526,9.19,9,13.15,5,12,1.4,2.7,-1.3,8.2,5.2,5.7,2.4,13.4,10.3,MEDIA 🟡,49.6,ACEPTABLE 🟡,ACEPTABLE 🟡,36,45.9,0,999,BAJA ❌,69.81,1.43,ALTA ✅,56.94,1.76,MEDIA ⚠️,43.79,2.28,BAJA ❌,31.7,3.15,BAJA ❌,86.14,1.16,ALTA ✅,78.4,1.28,ALTA ✅,68.3,1.46,ALTA ✅,56.21,1.78,MEDIA ⚠️,Over 7.5 (69.8% @1.43) | Under 12.5 (86.1% @1.16),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Mallorca vs Getafe,Mallorca,Getafe,ESP,11,2526,6.99,6,14.92,4,10,0.9,1.4,-0.5,3.6,4.2,6.8,4,7.8,5.7,ALTA ✅,58.6,BUENO ✅,BUENO ✅,53.7,49.8,0,999,BAJA ❌,39.98,2.5,BAJA ❌,26.96,3.71,BAJA ❌,16.85,5.94,BAJA ❌,9.78,10.23,BAJA ❌,97.33,1.03,ALTA ✅,94.71,1.06,ALTA ✅,90.22,1.11,ALTA ✅,83.15,1.2,ALTA ✅,Under 12.5 (97.3% @1.03),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Valencia vs Betis,Valencia,Betis,ESP,11,2526,8.11,8,13.95,4,11,0.9,1.6,-0.7,6.6,6,4.6,5.4,12.6,8,MEDIA 🟡,48.5,ACEPTABLE 🟡,ACEPTABLE 🟡,54.2,53.6,0,999,BAJA ❌,56.22,1.78,MEDIA ⚠️,42.27,2.37,BAJA ❌,29.7,3.37,BAJA ❌,19.51,5.13,BAJA ❌,93.08,1.07,ALTA ✅,88,1.14,ALTA ✅,80.49,1.24,ALTA ✅,70.3,1.42,ALTA ✅,Over 7.5 (56.2% @1.78) | Under 12.5 (93.1% @1.07),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Barcelona vs Celta Vigo,Barcelona,Celta Vigo,ESP,11,2526,6.96,6,14.99,4,10,2.2,1,1.2,7.8,3.8,6.2,4.7,11.5,6,BAJA ⛔,29,REGULAR ⚠️,REGULAR ⚠️,44.7,67.1,0,999,BAJA ❌,39.49,2.53,BAJA ❌,26.54,3.77,BAJA ❌,16.52,6.05,BAJA ❌,9.55,10.47,BAJA ❌,97.41,1.03,ALTA ✅,94.86,1.05,ALTA ✅,90.45,1.11,ALTA ✅,83.48,1.2,ALTA ✅,⛔ EVITAR - Baja fiabilidad,NO,⛔ EVITAR APUESTA
